Type,Teff,Jstet,RMS_60m,LS_Period,LS_SNR,BLS_Period,BLS_SDE,VmKmag,w1mw4mag
EC,4584.0,15.41751,0.07778,0.13979718,17320.74397,0.13978034,10.11396,2.5049991607666,2.26599979400633
ED,7907.0,0.33751,0.01877,0.76829099,413.39783,0.76748768,12.24261,0.7200002670287997,4.55700016021731
ED,4526.0,1.40075,0.01864,0.49879943,591.50909,0.49859426,13.07122,2.7560005187988,2.345999717712441
DCEP,5612.0,0.28116,0.00981,3.47920225,1260.04327,12.22142791,8.85036,1.7909994125365998,3.4539995193481
MISC,3834.0,0.87672,0.00224,12.12108273,4470.41223,11.76903307,9.28794,3.68099975585939,0.1360001564025896
DSCT,7369.0,1.09014,0.00679,0.29328904,61.9234,0.17128232,9.25269,0.6190004348755007,1.7430000305175497
ED,4671.0,1.47448,0.02464,4.48929339,314.64814,2.21907836,12.90309,2.4060001373291,2.609000205993599
DSCT,6969.0,0.989,0.00357,1.11332032,237.65714,0.18814685,9.21744,0.8790006637573207,-0.045999526977539
RR,6535.0,6.97258,0.09957,0.49879943,2355.84019,0.49859426,8.56099,0.7519998550415004,5.25999927520753
MISC,3400.0,8.90035,0.05453,14.64901579,3784.33636,0.10420759,8.49824,4.730000495910701,1.1950006484984907
MISC,2938.0,7.43084,0.00958,11.59708625,1263.10877,0.10420759,7.5827,6.317999839782759,0.21000003814697
DCEP,5403.0,0.95944,0.02137,2.86944515,2890.46584,2.89038983,9.1877,1.7620000839233008,4.76200008392339
EC,5488.0,9.78194,0.01538,0.16324345,12765.59726,0.32655821,10.03329,1.6929998397826704,0.8599996566772496
CST,5887.0,-0.29841,0.00057,11.133252,39.38907,13.916565,10.34018,1.596000671386701,1.0920000076294
CST,3685.0,14.19909,0.01401,12.10157348,2053.8916,0.1042076,7.28343,4.025999546051021,0.4530000686645499
MISC,4754.580078125,-0.05766,0.00086,0.67230961,234.70512,0.67235749,6.49375,2.5569992065430007,-0.0839996337890589
GDOR,7016.0,0.9563,0.00322,1.00119173,674.86712,1.00112539,7.93444,1.0659999847412092,-0.0170001983642595
EC,4537.0,1.25941,0.02831,0.13799211,3372.24789,0.13804919,10.13485,2.6440000534056995,4.685999870300272
DCEP,3731.0,1.19606,0.03151,3.23646721,1842.64472,3.21454229,8.47446,3.946001052856501,2.953000068664579
RR,6344.0,11.19036,0.20241,0.60905072,1933.95196,0.60908492,8.2049,0.9009990692137996,4.55600070953369
DSCT,7016.0,22.17169,0.01828,0.13459196,12960.49243,0.13462211,8.5007,0.8060002326965297,-0.2349996566772505
DCEP,4804.0,0.31186,0.0074,3.31352595,1752.28183,3.37684558,9.20648,2.2650003433227006,2.42399978637696
EC,6262.0,8.39635,0.0358,0.16577498,12356.33418,0.16576359,10.3495,1.387999534606999,2.7219991683960103
MISC,5820.0,0.53015,0.00952,16.37235765,581.596,13.916504,9.11679,1.6830005645752006,3.6909999847412
CST,3759.0,0.00766,0.01313,9.27787267,37.28302,0.10409947,7.74119,3.8880004882812,2.708999633789089
ED,4208.0,6.86724,0.04348,0.21812701,1779.44055,0.21799139,12.10855,3.006999969482401,2.079999923706021
RR,6535.0,4.12095,0.06312,0.46699678,3187.73405,0.46724472,8.29413,1.0089998245238991,5.194000244140659
DSCT,6148.0,0.11604,0.00453,0.1721282,1237.0866,0.17216415,8.74756,1.6279993057250994,2.7639999389648
EC,5324.0,0.41559,0.01627,0.16616721,1912.66798,0.3325112,9.65826,1.828000068664501,4.979999542236369
DSCT,6134.0,0.07671,0.00759,0.10001125,5791.12827,0.10000068,9.36789,1.5390005111693998,4.16900062561038
RR,5504.0,0.24279,0.0155,0.46595836,591.99329,1.39869952,7.28962,1.6799993515014986,5.83099937438967
DCEP,4607.0,0.21424,0.00271,3.16291114,2027.72951,3.11473863,9.04067,2.4780006408691198,-0.1870002746582102
ED,5820.0,-0.08895,0.00774,1.09149047,114.54572,1.093914,13.29561,1.7270002365111985,4.965999603271461
ED,6579.0,0.29168,0.01089,1.04087569,307.62107,2.08051345,11.91594,0.9860000610352008,2.51500034332272
GDOR,7447.0,43.87504,0.03108,0.8864015,2123.30339,0.88616383,7.56841,0.6199998855590803,-0.0539999008178702
GDOR,7359.0,6.0574,0.00837,0.61577449,1699.20403,0.61468223,6.23017,0.7539997100830096,0.0920000076293998
EC,6683.0,10.82041,0.03156,0.2860598,8655.91036,0.57258335,10.50496,0.9320001602172798,0.8660001754760795
RR,5550.0,1.63359,0.02155,0.47415687,2179.5663,0.47386576,7.51919,1.8339996337891,3.045000076293949
DSCT,6176.0,0.64584,0.01002,0.10001125,7082.79426,0.10000068,9.29785,0.9770002365112004,4.088999748229929
ED,5659.0,0.49118,0.01645,0.37709623,908.77865,0.37754691,8.81104,1.5180006027222,5.146999359130861
MISC,3565.0,9.60264,0.01873,9.27766933,731.13865,0.10420759,8.11608,4.35299968719483,0.2409996986389107
MISC,4364.0,5.71319,0.02724,13.25410381,8333.42486,0.10409947,8.64254,2.79699993133541,0.1120004653930593
DCEP,2899.0,0.0873,0.00725,3.12737281,824.93976,3.16385358,8.25817,6.4850006103515,0.90100002288818
